x;;;;
BO_ph;0.03;4.33;;
BO_sstrange;0.04;6.71;;
BO2_chlomean_bdmax;0.06;8.77;;
BO_salinity;0.15;23.14;;
BO_calcite;0.18;27.31;;
BO_sstmean;0.19;29.74;;
;0.65;100.00;;
