lon;lat;species;cells;BO_calcite;BO_salinity;BO_ph;BO_sstmean;BO_sstrange;BO2_chlomean_bdmax;sp
-77.533828;5.496468;Ophiothela mirabilis;1490910;0.003901;30.33200073;7.958000183;28.21800041;1.394000053;0.004361771;1
-101.622364;17.653881;Ophiothela mirabilis;965021;0.000416;34.24700165;8.244000435;29.0170002;4.40500021;0.015878741;1
-101.523956;17.620644;Ophiothela mirabilis;965022;0.000481;34.24499893;8.244000435;28.90999985;4.493000031;0.275404304;1
-101.490722;17.532897;Ophiothela mirabilis;968623;0.000209;34.24000168;8.243000031;29.04000092;4.335000038;0.081947453;1
-77.322209;3.966104;Ophiothela mirabilis;1555713;0.008524;30.12000084;7.964000225;28.58600044;2.635999918;0.397949427;1
-78.207345;2.94774;Ophiothela mirabilis;1598902;0.001138;31.00300026;7.986000061;27.54800034;1.279999971;0.004364579;1
-81.598485;4.004601;Ophiothela mirabilis;1552061;0.000217;32.1269989;8.003000259;26.94300079;1.41900003;0.004361333;1
-105.107778;19.556667;Ophiothela mirabilis;882179;0.000526;34.25600052;8.26099968;27.9829998;5.75;0.379095286;1
-103.519167;18.3525;Ophiothela mirabilis;932598;0.000556;34.29100037;8.251999855;28.50300026;5.044000149;0.004360296;1
-99.912222;16.823056;Ophiothela mirabilis;1001042;0.001158;34.22200012;8.236000061;29.36000061;4.126999855;0.077850796;1
-96.477222;15.673333;Ophiothela mirabilis;1047883;0.000321;34.27099991;8.220000267;28.98500061;3.907999992;0.264899224;1
-96.236944;15.687222;Ophiothela mirabilis;1047886;0.00039;34.27399826;8.218000412;28.87599945;3.801000118;0.01065705;1
-96.143611;15.736389;Ophiothela mirabilis;1047887;0.000424;34.27399826;8.218000412;28.84000015;3.890000105;0.004358342;1
-96.059722;15.780833;Ophiothela mirabilis;1044288;0.000562;34.28300095;8.218000412;28.83499908;3.648000002;0.367480069;1
-104.304444;19.059167;Ophiothela mirabilis;903789;0.000359;34.29700089;8.256999969;29.00200081;7.063000202;0.354751974;1
-81.594444;3.851944;Ophiothela mirabilis;1559261;0.000229;32.18199921;8.005000114;26.84799957;1.197000027;0.004361333;1
-105.399639;20.733306;Ophiothela mirabilis;831776;0.00204;34.20399857;8.269000053;27.48800087;7.230999947;0.024425896;1
-105.563917;20.703917;Ophiothela mirabilis;831774;0.000811;34.21300125;8.269000053;27.19799995;7.27699995;0.00970765;1
-105.292997;20.545786;Ophiothela mirabilis;838977;0.000923;34.19599915;8.267999649;27.95400047;7.081999779;0.004365267;1
-105.392997;20.506517;Ophiothela mirabilis;838976;0.00082;34.20100021;8.267999649;27.55599976;6.93599987;0.004361335;1
-104.738336;19.238414;Ophiothela mirabilis;896584;0.000338;34.2859993;8.258999825;27.95299911;5.473999977;0.338893294;1
-104.755928;19.23125;Ophiothela mirabilis;896583;0.000345;34.2840004;8.258999825;27.95499992;5.93200016;0.037254173;1
-104.351842;19.104997;Ophiothela mirabilis;900188;0.000351;34.29399872;8.258000374;28.24099922;5.822000027;0.265341371;1
-104.435344;19.09675;Ophiothela mirabilis;900187;0.000341;34.29299927;8.258000374;28.92900085;4.144000053;0.230750635;1
