"lon";"lat";"species";"reference"
-97.066111;15.856667;"Ophiothela mirabilis";"Granja-Fernández et al., 2014"
-96.477222;15.673333;"Ophiothela mirabilis";"Granja-Fernández et al., 2014"
-96.236944;15.687222;"Ophiothela mirabilis";"Granja-Fernández et al., 2014"
-96.143611;15.736389;"Ophiothela mirabilis";"Granja-Fernández et al., 2014"
-96.099167;15.766667;"Ophiothela mirabilis";"Granja-Fernández et al., 2014"
-96.059722;15.780833;"Ophiothela mirabilis";"Granja-Fernández et al., 2014"
-104.304444;19.059167;"Ophiothela mirabilis";"Galván-Villa and Ríos-Jata, 2018"
-81.594444;3.851944;"Ophiothela mirabilis";"Cohen-Rengifo et al., 2009"
-105.399639;20.733306;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-105.563917;20.703917;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-105.565;20.701444;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-105.565861;20.699472;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-105.581047;20.698717;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-105.582806;20.697389;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-105.239292;20.600617;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-105.292997;20.545786;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-105.326058;20.512242;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-105.392997;20.506517;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-105.1119;19.556631;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-104.738336;19.238414;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-104.735164;19.234781;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-104.755928;19.23125;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-104.733106;19.229258;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-104.72445;19.22025;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-104.351842;19.104997;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-104.393867;19.1028;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
