"modelID";"species";"method";"replication";"replicationID";"success";"training";"test.dep";"test.indep"
"101";101;"sp";"gam";"bootstrap";1;TRUE;TRUE;TRUE;FALSE
"102";102;"sp";"gam";"bootstrap";2;TRUE;TRUE;TRUE;FALSE
"103";103;"sp";"gam";"bootstrap";3;TRUE;TRUE;TRUE;FALSE
"104";104;"sp";"gam";"bootstrap";4;TRUE;TRUE;TRUE;FALSE
"105";105;"sp";"gam";"bootstrap";5;TRUE;TRUE;TRUE;FALSE
"106";106;"sp";"gam";"bootstrap";6;TRUE;TRUE;TRUE;FALSE
"107";107;"sp";"gam";"bootstrap";7;TRUE;TRUE;TRUE;FALSE
"108";108;"sp";"gam";"bootstrap";8;TRUE;TRUE;TRUE;FALSE
"109";109;"sp";"gam";"bootstrap";9;TRUE;TRUE;TRUE;FALSE
"110";110;"sp";"gam";"bootstrap";10;TRUE;TRUE;TRUE;FALSE
"111";111;"sp";"gam";"bootstrap";11;TRUE;TRUE;TRUE;FALSE
"112";112;"sp";"gam";"bootstrap";12;TRUE;TRUE;TRUE;FALSE
"113";113;"sp";"gam";"bootstrap";13;TRUE;TRUE;TRUE;FALSE
"114";114;"sp";"gam";"bootstrap";14;TRUE;TRUE;TRUE;FALSE
"115";115;"sp";"gam";"bootstrap";15;TRUE;TRUE;TRUE;FALSE
"116";116;"sp";"gam";"bootstrap";16;TRUE;TRUE;TRUE;FALSE
"117";117;"sp";"gam";"bootstrap";17;TRUE;TRUE;TRUE;FALSE
"118";118;"sp";"gam";"bootstrap";18;TRUE;TRUE;TRUE;FALSE
"119";119;"sp";"gam";"bootstrap";19;TRUE;TRUE;TRUE;FALSE
"120";120;"sp";"gam";"bootstrap";20;TRUE;TRUE;TRUE;FALSE
"121";121;"sp";"gam";"bootstrap";21;TRUE;TRUE;TRUE;FALSE
"122";122;"sp";"gam";"bootstrap";22;TRUE;TRUE;TRUE;FALSE
"123";123;"sp";"gam";"bootstrap";23;TRUE;TRUE;TRUE;FALSE
"124";124;"sp";"gam";"bootstrap";24;TRUE;TRUE;TRUE;FALSE
"125";125;"sp";"gam";"bootstrap";25;TRUE;TRUE;TRUE;FALSE
"126";126;"sp";"gam";"bootstrap";26;TRUE;TRUE;TRUE;FALSE
"127";127;"sp";"gam";"bootstrap";27;TRUE;TRUE;TRUE;FALSE
"128";128;"sp";"gam";"bootstrap";28;TRUE;TRUE;TRUE;FALSE
"129";129;"sp";"gam";"bootstrap";29;TRUE;TRUE;TRUE;FALSE
"130";130;"sp";"gam";"bootstrap";30;TRUE;TRUE;TRUE;FALSE
"131";131;"sp";"gam";"bootstrap";31;TRUE;TRUE;TRUE;FALSE
"132";132;"sp";"gam";"bootstrap";32;TRUE;TRUE;TRUE;FALSE
"133";133;"sp";"gam";"bootstrap";33;TRUE;TRUE;TRUE;FALSE
"134";134;"sp";"gam";"bootstrap";34;TRUE;TRUE;TRUE;FALSE
"135";135;"sp";"gam";"bootstrap";35;TRUE;TRUE;TRUE;FALSE
"136";136;"sp";"gam";"bootstrap";36;TRUE;TRUE;TRUE;FALSE
"137";137;"sp";"gam";"bootstrap";37;TRUE;TRUE;TRUE;FALSE
"138";138;"sp";"gam";"bootstrap";38;TRUE;TRUE;TRUE;FALSE
"139";139;"sp";"gam";"bootstrap";39;TRUE;TRUE;TRUE;FALSE
"140";140;"sp";"gam";"bootstrap";40;TRUE;TRUE;TRUE;FALSE
"141";141;"sp";"gam";"bootstrap";41;TRUE;TRUE;TRUE;FALSE
"142";142;"sp";"gam";"bootstrap";42;TRUE;TRUE;TRUE;FALSE
"143";143;"sp";"gam";"bootstrap";43;TRUE;TRUE;TRUE;FALSE
"144";144;"sp";"gam";"bootstrap";44;TRUE;TRUE;TRUE;FALSE
"145";145;"sp";"gam";"bootstrap";45;TRUE;TRUE;TRUE;FALSE
"146";146;"sp";"gam";"bootstrap";46;TRUE;TRUE;TRUE;FALSE
"147";147;"sp";"gam";"bootstrap";47;TRUE;TRUE;TRUE;FALSE
"148";148;"sp";"gam";"bootstrap";48;TRUE;TRUE;TRUE;FALSE
"149";149;"sp";"gam";"bootstrap";49;TRUE;TRUE;TRUE;FALSE
"150";150;"sp";"gam";"bootstrap";50;TRUE;TRUE;TRUE;FALSE
