"species";"reference";"cells";"layer";"lon";"lat";"optional"
"Carijoa riisei";"GBIF";429268;0.269533574581146;-77.69348;6.83682;TRUE
"Carijoa riisei";"GBIF";194858;0.444248735904694;-81.876333;24.978333;TRUE
"Carijoa riisei";"GBIF";440072;0.268981069326401;-77.356298;6.000704;TRUE
"Carijoa riisei";"GBIF";478943;0.362511366605759;-78.164556;3.004444;TRUE
"Carijoa riisei";"GBIF";478942;0.0877451747655869;-78.169361;3.004306;TRUE
"Carijoa riisei";"GBIF";136470;0.42794206738472;-87.5776;29.4391;TRUE
"Carijoa riisei";"GBIF";178478;0.479405999183655;-96.861444;26.194778;TRUE
"Carijoa riisei";"GBIF";185159;0.3739173412323;-80.16;25.733167;TRUE
"Carijoa riisei";"GBIF";140812;0.309395760297775;-85.7185;29.164333;TRUE
"Carijoa riisei";"GBIF";120348;0.151842668652534;-81.078833;30.702;TRUE
"Carijoa riisei";"GBIF";200263;0.325024098157883;-81.461167;24.5305;TRUE
"Carijoa riisei";"GBIF";162477;0.25265696644783;-80.316667;27.466667;TRUE
"Carijoa riisei";"GBIF";151495;0.343456983566284;-95.5;28.33;TRUE
"Carijoa riisei";"GBIF";191622;0.459292083978653;-81.536333;25.178389;TRUE
"Carijoa riisei";"GBIF";186219;0.602767050266266;-81.769222;25.624611;TRUE
"Carijoa riisei";"GBIF";NA;NA;152.3355;-10.695333;TRUE
"Carijoa riisei";"GBIF";NA;NA;150.7125;-10.260833;TRUE
"Carijoa riisei";"GBIF";148319;0.542275071144104;-90.092;28.5222;TRUE
"Carijoa riisei";"GBIF";372070;0.53524923324585;-74.222917;11.251789;TRUE
"Carijoa riisei";"GBIF";360217;0.47518527507782;-71.981972;12.188167;TRUE
"Carijoa riisei";"GBIF";NA;NA;129.333333;28.127778;TRUE
"Carijoa riisei";"GBIF";NA;NA;125.13;24.82;TRUE
"Carijoa riisei";"GBIF";NA;NA;127.87;26.68;TRUE
"Carijoa riisei";"GBIF";125751;0.373695552349091;-80.809;30.331667;TRUE
"Carijoa riisei";"GBIF";177574;0.460727214813232;-82.2103;26.2978;TRUE
"Carijoa riisei";"GBIF";190541;0.558274686336517;-81.6633;25.2967;TRUE
"Carijoa riisei";"GBIF";190539;0.484359443187714;-81.8;25.2944;TRUE
"Carijoa riisei";"GBIF";NA;NA;127.7;26.68;TRUE
"Carijoa riisei";"GBIF";818469;0.292585402727127;-44.2933;-23.1133;TRUE
"Carijoa riisei";"GBIF";133233;0.3582943379879;-87.3333;29.7;TRUE
"Carijoa riisei";"GBIF";827096;0.591996669769287;-45.415;-23.8267;TRUE
"Carijoa riisei";"GBIF";118193;0.347446441650391;-80.6;30.9117;TRUE
"Carijoa riisei";"GBIF";349565;0.0258192047476768;-59.616667;13.083333;TRUE
"Carijoa riisei";"GBIF";148316;0.574127912521362;-90.4089;28.5692;TRUE
"Carijoa riisei";"GBIF";177576;0.556730806827545;-82.0175;26.263888;TRUE
"Carijoa riisei";"GBIF";295225;0.114291161298752;-87.93;17.17;TRUE
"Carijoa riisei";"GBIF";358058;0.730961740016937;-71.88;12.4;TRUE
"Carijoa riisei";"GBIF";311448;0.467047721147537;-86.0333;15.9867;TRUE
"Carijoa riisei";"GBIF";311430;0.687042713165283;-87.5367;15.9383;TRUE
"Carijoa riisei";"GBIF";311447;0.4730584025383;-86.0917;15.9917;TRUE
"Carijoa riisei";"GBIF";311446;0.412625163793564;-86.1667;16;TRUE
"Carijoa riisei";"GBIF";439281;0.448138236999512;-53.3167;6.1167;TRUE
"Carijoa riisei";"GBIF";384056;0.353953808546066;-65.3833;10.375;TRUE
"Carijoa riisei";"GBIF";431700;0.396690279245377;-55.0667;6.6667;TRUE
"Carijoa riisei";"GBIF";385140;0.463093876838684;-65.0333;10.3333;TRUE
"Carijoa riisei";"GBIF";375454;0.614921033382416;-62.1931;11.08;TRUE
